sample_id,dataset,group,Endothelial_immune_activation,BBB_specialization,Structural_ECM_remodeling,Tight_junction,BBB_transport_identity,Caveolae_structural,PLVAP_permeability,Adhesion_trafficking,IFN_antigen_presentation,Wnt_BBB,TGF_response,VEGF_response,ROS_Src,ECM_protease,subset
EAE_Acute1,GSE95401,Acute,0.3586271538785189,-1.2359687263806018,-0.24482898665837424,-1.283090924855955,-0.5393384766816878,-0.7600383058895283,0.9108888057330052,0.39935636453025564,0.6059917657879451,-1.6162491174196678,-0.9586180254265533,-0.010736651586481188,-0.164005669290479,0.6382436477805515,
EAE_Acute2,GSE95401,Acute,0.7697495006397479,0.24489120183065363,0.28226703188636215,0.46910817924636034,-0.3434846680191799,-0.5451431263524585,0.7665920720058726,0.45055438670883685,0.8890545870199215,0.4185431418079883,0.5213012432867001,0.2559285501017706,0.49502804766723413,-0.49823963199169646,
EAE_Acute3,GSE95401,Acute,-0.5466139060494711,0.7685210541651767,-0.3809302420989705,0.6183555522907949,0.5999291042281636,-0.36918936341067904,-0.2824269713554689,-0.4327935260012427,-0.7148430772857721,0.9898086256268904,0.3889938475579231,0.09440844668388924,-0.5722158685258085,-0.5556651350538783,
EAE_Subacute1,GSE95401,Subacute,0.8117756320355496,-0.23063763143298366,0.8143350328141356,0.4345747882980632,-0.49463769160804283,0.49687860394394007,0.7415204278613398,0.888334433672704,0.9434156328303481,-0.6044075311127857,0.0010135924801244478,0.3258702396220284,0.485092819660009,1.0447806909581818,
EAE_Subacute2,GSE95401,Subacute,0.6069186807723344,-0.15250468324783573,0.45077709553514644,-0.13496691801096017,-1.1199473286847539,0.24024738714183344,0.41877243215943477,0.878999578040608,0.5287147899213008,0.4139306918248146,-0.36671260565390545,0.3785548938864281,0.7822898412518194,-0.4167754149546806,
EAE_Subacute3,GSE95401,Subacute,0.3218458791594133,-0.31274432022794346,0.7271012487602058,0.29477867028196003,-0.8122236891664117,0.5857077144899973,0.4438199280171153,0.6927244368216382,0.16667953790167758,-0.49907509127278527,0.49541756201726717,0.16673143941394317,0.5965986484083088,0.7048414885974668,
EAE_Chronic1,GSE95401,Chronic,-0.19892377850662704,-0.2482516797301352,-0.13324417686210543,-0.3894762596004172,-0.13138411136529723,-1.13538383025791,0.28709058518813696,0.6424469224132968,-0.725262479082255,-0.2053925568528125,0.110396924938102,-0.12326093703194109,-0.01901442620540948,-0.2563903950561814,
EAE_Chronic2,GSE95401,Chronic,0.05176979714252431,-0.033842326372834686,0.00534004063524102,0.06553671018389809,-0.2147831257638478,-0.44208131364706765,-0.09291801104179495,0.08164337695904138,-0.024426417925407642,-0.004781075983613103,0.5511630736346073,0.26926988812145863,-0.4080360939473226,0.4088308982057808,
EAE_Chronic3,GSE95401,Chronic,0.5322970704493686,-0.8591254306481471,0.2657840217708154,-1.1275809773012688,-0.7369038597837303,-0.5108517737989208,-0.5276196980598465,0.4614314761956188,0.6874197087973783,-0.7176939358442996,-0.4370211497890104,-0.7415733106292728,-1.0124607328280542,0.9289833237816214,
CO37,GSE279183,Control,-0.3457298030091705,0.288733277147238,0.1805145761047974,0.403806043139462,0.7214883325662135,-0.3895484126382607,0.4056043596852339,-0.764976312442312,-0.22951099779400072,-0.07648527046022839,0.33040640652437847,0.30871752639339495,-0.008205682992030854,-0.30778350506147095,
